ID,Aname,AisMale,Aage,Aheight,Aweight,AtimePro,AtimeUFC,Awins,Alosses,AwinStk,AwinGra,AwinDec,AwinOtr,AlossStk,AlossGra,AlossDec,AlossOtr,Al3Wins,Al3Losses,Al3WinStk,Al3WinGra,Al3WinDec,Al3WinOtr,Al3LossStk,Al3LossGra,Al3LossDec,Al3LossOtr,AufcCount,AavgLength,Astreak,Bname,BisMale,Bage,Bheight,Bweight,BtimePro,BtimeUFC,Bwins,Blosses,BwinStk,BwinGra,BwinDec,BwinOtr,BlossStk,BlossGra,BlossDec,BlossOtr,Bl3Wins,Bl3Losses,Bl3WinStk,Bl3WinGra,Bl3WinDec,Bl3WinOtr,Bl3LossStk,Bl3LossGra,Bl3LossDec,Bl3LossOtr,BufcCount,BavgLength,Bstreak,Event,Result,ResultBy,ResultIn
Chris Leben vs. Patrick Cote | UFC Fight Night 1 - Marquardt vs. Salaverry,Patrick Cote,1,9290,71,170,1007,288,6,2,3,1,2,0,0,1,1,0,1,2,0,0,1,0,0,1,1,0,2,490,-1,Chris Leben,1,9147,71,185,1001,1001,11,1,6,3,2,0,0,0,1,0,2,1,2,0,0,0,0,0,1,0,5,398,2,UFC Fight Night 1 - Marquardt vs. Salaverry,0,0,0
Joe Lauzon vs. Takanori Gomi | UFC on Fox 16 - Dillashaw vs. Barao 2,Takanori Gomi,1,13455,68,155,6084,1942,35,10,13,6,16,0,1,6,3,0,1,2,0,0,1,0,1,0,1,0,9,577,-1,Joe Lauzon,1,11386,70,155,4172,3227,24,10,5,18,1,0,4,3,3,0,2,1,1,0,1,0,1,0,0,0,18,373,-1,UFC on Fox 16 - Dillashaw vs. Barao 2,0,1,1
Alberto Mina vs. Shinsho Anzai | UFC Fight Night 48 - Bisping vs. Le,Alberto Mina,1,11801,72,170,3371,0,10,0,4,6,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,282,10,Shinsho Anzai,1,10492,68,170,1917,0,8,1,6,0,2,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,351,6,UFC Fight Night 48 - Bisping vs. Le,1,1,1
Sam Stout vs. Spencer Fisher | UFC on FX 4 - Maynard vs. Guida,Sam Stout,1,10287,69,155,3303,2302,17,7,9,1,7,0,0,2,5,0,2,1,1,0,1,0,0,0,1,0,12,618,-1,Spencer Fisher,1,13193,67,155,3597,2454,24,8,10,9,5,0,3,0,5,0,1,2,0,0,1,0,1,0,1,0,16,518,-2,UFC on FX 4 - Maynard vs. Guida,1,0,0
Donald Cerrone vs. Edson Barboza | UFC on Fox 11 - Werdum vs. Browne,Edson Barboza,1,10315,71,155,1828,1246,13,1,9,1,3,0,1,0,0,0,3,0,2,0,1,0,0,0,0,0,8,429,3,Donald Cerrone,1,11344,72,170,2989,1169,22,6,3,14,5,0,1,1,3,0,2,1,1,1,0,0,0,0,1,0,12,517,2,UFC on Fox 11 - Werdum vs. Browne,0,2,1
Alex Oliveira vs. James Moontasri | UFC on Fox 20 - Holm vs. Shevchenko,James Moontasri,1,10331,70,170,2885,756,9,3,4,3,2,0,0,1,2,0,2,1,1,1,0,0,0,1,0,0,4,526,1,Alex Oliveira,1,10380,71,170,1687,490,13,4,8,2,2,0,0,3,1,0,2,1,1,0,1,0,0,1,0,0,5,425,-1,UFC on Fox 20 - Holm vs. Shevchenko,0,0,0
Brian Kelleher vs. Marlon Vera | UFC on Fox 25 - Weidman vs. Gastelum,Marlon Vera,1,8998,68,135,2226,980,9,3,2,5,2,0,0,0,3,0,2,1,1,0,1,0,0,0,1,0,5,643,2,Brian Kelleher,1,11295,66,135,2325,49,17,7,6,8,3,0,0,4,3,0,3,0,1,2,0,0,0,0,0,0,1,461,7,UFC on Fox 25 - Weidman vs. Gastelum,1,2,1
Luke Sanders vs. Patrick Williams | UFC on Fox 29 - Poirier vs. Gaethje,Luke Sanders,1,11811,67,135,2654,818,11,2,6,1,3,0,1,1,0,0,1,2,0,1,0,0,1,1,0,0,3,472,-2,Patrick Williams,1,13368,68,135,2793,1449,8,5,4,3,1,0,3,1,1,0,1,2,0,1,0,0,2,0,0,0,3,341,-1,UFC on Fox 29 - Poirier vs. Gaethje,1,0,0
Dan Miller vs. Ricardo Funch | UFC on FX 4 - Maynard vs. Guida,Dan Miller,1,11315,73,185,2407,1374,13,6,1,8,4,0,0,0,6,0,1,2,0,0,1,0,0,0,2,0,10,547,-2,Ricardo Funch,1,11635,70,170,2099,923,8,3,4,1,3,0,1,1,1,0,1,2,0,0,1,0,1,1,0,0,3,413,-1,UFC on FX 4 - Maynard vs. Guida,1,2,1
Kurt Holobaugh vs. Steven Siler | UFC 159 - Jones vs. Sonnen,Kurt Holobaugh,1,9728,71,145,777,0,9,1,2,5,1,0,0,0,1,0,2,1,2,0,0,0,0,0,1,0,0,356,-1,Steven Siler,1,9568,71,145,2926,511,21,10,2,12,6,0,4,5,1,0,2,1,0,1,1,0,0,0,1,0,4,380,-1,UFC 159 - Jones vs. Sonnen,0,0,0
